"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Hutan.lahan.kering.primer",13910.0034165874,13573.2149947613,13177.4151080617,12726.3519754561,12222.5661423768,11667.6832441381,11062.6043793633,10407.6353017681,9702.55952310927,8946.68394335853,8138.85870719227,7277.46562721608,6360.39311367094,5384.98869596846,4347.98068438311,3245.38334488686
"Hutan.lahan.kering.sekunder...bekas.tebangan",166914.040457029,162905.176416214,158196.682149557,152833.012620877,146844.299790731,140249.824860638,133060.276075986,125279.280979841,116904.273388826,107927.034583535,98333.9288059482,88105.7659795273,77217.5043449363,65637.6873851813,53327.5147443594,40239.7175677455
"Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.sekunder",1126.00019837898,1084.91379017875,1041.63524953774,996.302835129429,948.989287843004,899.718604790602,848.476856473438,795.219451229953,739.875144895632,682.348461918372,622.520627980559,560.248682479872,495.363815972062,427.66841309891,356.931305954439,282.882075549129
"Hutan.tanaman",463449.043620474,453632.92603045,443145.912120297,432034.225735848,420328.254277238,408046.403165399,395197.600745667,381782.999697762,367796.935368543,353227.524696271,338056.926981706,322261.190143003,305809.914924279,288665.630954804,270782.762359719,252106.374356639
"Perkebunan",171551.992479016,163977.135297189,156794.93576874,149984.659896259,143526.684159328,137402.434602415,131594.333983448,126085.738847721,120860.900795814,115904.914039835,111203.663320407,106743.793136849,102512.660933508,98498.2944228701,94689.366742943,91075.1494269362
"Semak.belukar",3472.00082408088,3382.54333262579,3278.57445061231,3161.00347168558,3030.44512921745,2887.29097580726,2731.75578770933,2563.90906216279,2383.69283166203,2190.9327860313,1985.34310871159,1766.5236523778,1533.95381782423,1286.98097660802,1024.80136887778,746.436975589794
"Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Savanna...Padang.rumput",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pertanian.lahan.kering",880199.867543702,900038.226746355,920636.083773919,942029.168972733,964254.996188849,987352.915618588,1011364.28179598,1036332.37393017,1062302.71155809,1089323.08066782,1117443.52100471,1146716.65870773,1177197.72316406,1208944.59016617,1242018.12888276,1276482.11750596
"Pertanian.lahan.kering..campur.semak...kebun.campur",741848.949665864,757438.547844534,773668.059646207,790567.502035428,808168.385343903,826503.776460958,845608.403061128,865518.672544752,886272.834131925,907911.040294965,930475.396230288,954010.13720618,978561.69356539,1004178.76943792,1030912.53425104,1058816.66015875
"Sawah",872027.018478798,877726.640716626,883152.141999396,888325.9969259,893263.641028191,897975.178244392,902466.49084622,906739.992942147,910795.056716382,914628.278677827,918233.59509101,921602.214693191,924722.472511609,927579.552528909,930155.031270169,932426.324599006
"Tambak",71220.0088079897,67798.4755170883,64382.6215241434,60972.0887486527,57564.045549554,54153.897393685,50735.7379662932,47302.6456692567,43846.8390084893,40359.7633594147,36832.1137394096,33253.7788214828,29613.7520965971,25899.9871639018,22099.175456489,18196.4831627895
"Pemukiman",311244.06410709,296864.217644153,282526.003657084,268055.43657261,253317.509802077,238204.910504007,222630.353409505,206521.464975961,189817.103791755,172464.968901746,154420.043062253,135643.493940355,116102.240727458,95768.9489222068,74622.2975676639,52647.8995580036
"Transmigrasi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lahan.terbuka",11527.0033332172,11194.1478587549,10803.7426421164,10359.3833647551,9863.50152260836,9317.64647677011,8722.66890307933,8078.84524304031,7385.9481484265,6643.29042507423,5849.74415211718,5003.72949691977,4103.19056058988,3145.54959751597,2127.63150306043,1045.57244292277
"Pertambangan",1663.00001540034,1675.38800294478,1717.78048929425,1792.65950791518,1903.81426306958,2056.5848001849,2258.18224074092,2518.10363172034,2848.66442341218,3265.67776378183,3789.31764343805,4445.21264744413,5265.82938267131,6292.22018219772,7576.22910870081,9183.27489061299
"Tubuh.air",30486.0070452632,29400.6772005863,28217.4009326457,26942.297402255,25579.1156216614,24129.8254078496,22595.0000767508,20974.0746286705,19265.4900234773,17466.7816534837,15574.6155869843,13584.760957288,11492.0351522051,9290.20348513021,6971.81617376892,4528.01196524357
"Rawa",21.0000060724873,20.3936067523078,19.6823627556558,18.8728247297524,17.9694223973953,16.9749783995985,15.8910425058268,14.7181183398843,13.4557917165747,12.1028106989294,10.6571204298135,9.11584275486381,7.47523221760974,5.7305926561842,3.87613963427336,1.90483398120743
"Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bandara",421.000001036274,368.375000788175,322.328125632685,282.03710976581,246.7824709547,215.934661978166,188.942829149534,165.324975458993,144.659353472771,126.576934239718,110.754817416846,96.9104652033005,84.7966570063782,74.1970748597804,64.9224404709581,56.8071353871235
